coordinate_role,guide_name,id,jurisdiction,latitude,longitude,map_eligible,notes,official_owner,official_url,planner_eligible,review_status,role,scope,score_impact,source_kind,spot_name,spot_type
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:001:buffalo_creek_rock_bar,NT,-12.336,130.927,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",Northern Territory Government,https://nt.gov.au/parks/safety-rules/boating-and-fishing-in-parks,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,tidal_estuary,none,official_parks_fishing_site,Buffalo Creek Rock Bar,rock_bar
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:002:howard_river_beach_shoal_bay_coastal_reserve,NT,-12.245,131.048,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",Northern Territory Government,https://nt.gov.au/parks/safety-rules/boating-and-fishing-in-parks,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,tidal_estuary,none,official_parks_fishing_site,Howard River Beach - Shoal Bay Coastal Reserve,beach_river
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:003:howard_river_beach_tree_point_conservation_reserve,NT,-12.235,131.065,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",Northern Territory Government,https://nt.gov.au/parks/safety-rules/boating-and-fishing-in-parks,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,tidal_estuary,none,official_parks_fishing_site,Howard River Beach - Tree Point Conservation Reserve,beach_river
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:004:port_essington,NT,-11.23292,132.14989,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",Northern Territory Government,https://nt.gov.au/parks/safety-rules/boating-and-fishing-in-parks,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,official_parks_fishing_site,Port Essington,bay_coast
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:005:caiman_creek,NT,-11.248546,132.209626,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",Northern Territory Government,https://nt.gov.au/parks/safety-rules/boating-and-fishing-in-parks,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,tidal_estuary,none,official_parks_fishing_site,Caiman Creek,creek_mouth
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:006:scott_s_creek,NT,-12.705,131.319,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",Northern Territory Government,https://nt.gov.au/parks/safety-rules/boating-and-fishing-in-parks,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,tidal_estuary,none,official_parks_fishing_site,Scott's Creek,creek_mouth
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:007:cape_hotham,NT,-12.045,131.305,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",Northern Territory Government,https://nt.gov.au/parks/safety-rules/boating-and-fishing-in-parks,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,official_parks_fishing_site,Cape Hotham,headland_coast
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:008:shady_camp_saltwater,NT,-12.276,131.856,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",Northern Territory Government,https://nt.gov.au/parks/safety-rules/boating-and-fishing-in-parks,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,tidal_estuary,none,official_parks_fishing_site,Shady Camp saltwater,tidal_river
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:009:stuart_s_tree_fishing_camp,NT,-12.169,131.69,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",Northern Territory Government,https://nt.gov.au/parks/safety-rules/boating-and-fishing-in-parks,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,tidal_estuary,none,official_parks_fishing_site,Stuart's Tree Fishing Camp,tidal_river
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:010:channel_point_coastal_reserve,NT,-13.170263,130.137131,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",Northern Territory Government,https://nt.gov.au/parks/safety-rules/boating-and-fishing-in-parks,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,official_parks_fishing_site,Channel Point Coastal Reserve,coastal_reserve
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:011:dundee_beach,NT,-12.731014,130.358574,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",AFANT / NT Recreational Fishing Grant,https://afant.com.au/lbfg-darwin/,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,government_supported_public_guide_reference,Dundee Beach,beach
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:012:east_point_rocks,NT,-12.404497,130.811705,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",AFANT / NT Recreational Fishing Grant,https://afant.com.au/lbfg-darwin/,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,government_supported_public_guide_reference,East Point Rocks,rocky_shoreline
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:013:nightcliff_jetty,NT,-12.378925,130.84194,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",AFANT / NT Recreational Fishing Grant,https://afant.com.au/lbfg-darwin/,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,government_supported_public_guide_reference,Nightcliff Jetty,jetty
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:014:cullen_bay_rock_wall,NT,-12.452372,130.822843,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",AFANT / NT Recreational Fishing Grant,https://afant.com.au/lbfg-darwin/,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,government_supported_public_guide_reference,Cullen Bay rock wall,breakwater
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:015:elizabeth_river_bridge,NT,-12.544,130.956,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",AFANT / NT Recreational Fishing Grant,https://afant.com.au/lbfg-darwin/,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,tidal_estuary,none,government_supported_public_guide_reference,Elizabeth River Bridge,bridge
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:016:channel_island_bridge,NT,-12.553,130.872,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",AFANT / NT Recreational Fishing Grant,https://afant.com.au/lbfg-darwin/,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,tidal_estuary,none,government_supported_public_guide_reference,Channel Island Bridge,bridge
supplemental_spot_candidate,Relaxed-scope public fishing references,nt_supplemental_fishing:017:fannie_bay_shoreline,NT,-12.426,130.836,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",Northern Territory tourism / public guide,https://northernterritory.com/darwin-and-surrounds/see-and-do/fishing,True,needs_crocodile_access_and_closure_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,supplemental_public_fishing_guide,Fannie Bay shoreline,shoreline
supplemental_spot_candidate,Relaxed-scope public fishing references,sa_supplemental_fishing:018:waitpinga_beach,SA,-35.636031,138.504843,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",South Australian Marine Parks,https://www.marineparks.sa.gov.au/enjoy/fishing,True,needs_access_closure_and_local_rules_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,government_public_fishing_experience_reference,Waitpinga Beach,surf_beach
supplemental_spot_candidate,Relaxed-scope public fishing references,sa_supplemental_fishing:019:locks_well_beach,SA,-33.743098,135.0247,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",South Australian Marine Parks,https://www.marineparks.sa.gov.au/enjoy/fishing,True,needs_access_closure_and_local_rules_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,government_public_fishing_experience_reference,Locks Well Beach,surf_beach
supplemental_spot_candidate,Relaxed-scope public fishing references,sa_supplemental_fishing:020:browns_beach,SA,-35.247,136.831,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",South Australian Marine Parks,https://www.marineparks.sa.gov.au/enjoy/fishing,True,needs_access_closure_and_local_rules_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,government_public_fishing_experience_reference,Browns Beach,surf_beach
supplemental_spot_candidate,Relaxed-scope public fishing references,sa_supplemental_fishing:021:second_valley_jetty,SA,-35.515,138.219,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",South Australian Marine Parks,https://www.marineparks.sa.gov.au/enjoy/fishing,True,needs_access_closure_and_local_rules_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,government_public_fishing_experience_reference,Second Valley Jetty,jetty
supplemental_spot_candidate,Relaxed-scope public fishing references,sa_supplemental_fishing:022:stenhouse_bay_jetty,SA,-35.27954,136.943274,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",South Australian Parks,https://www.marineparks.sa.gov.au/enjoy/fishing,True,needs_access_closure_and_local_rules_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,government_public_fishing_experience_reference,Stenhouse Bay Jetty,jetty
supplemental_spot_candidate,Relaxed-scope public fishing references,sa_supplemental_fishing:023:elliston_jetty,SA,-33.638954,134.87966,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",Elliston official tourism,https://elliston.com.au/attractions/fishing-information/,True,needs_access_closure_and_local_rules_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,local_tourism_fishing_guide,Elliston Jetty,jetty
supplemental_spot_candidate,Relaxed-scope public fishing references,sa_supplemental_fishing:024:waterloo_bay_south_point,SA,-33.632928,134.880896,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",Elliston official tourism,https://elliston.com.au/attractions/fishing-information/,True,needs_access_closure_and_local_rules_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,local_tourism_fishing_guide,Waterloo Bay South Point,rock_ledge
supplemental_spot_candidate,Relaxed-scope public fishing references,sa_supplemental_fishing:025:boords_beach,SA,-33.661378,134.89407,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",Elliston official tourism,https://elliston.com.au/attractions/fishing-information/,True,needs_access_closure_and_local_rules_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,local_tourism_fishing_guide,Boords Beach,beach_reef
supplemental_spot_candidate,Relaxed-scope public fishing references,sa_supplemental_fishing:026:anxious_bay,SA,-33.33425,134.64656,True,"Relaxed-scope fishing reference. Use as a map candidate only until current access, closures, and local rules are checked.",Elliston official tourism,https://elliston.com.au/attractions/fishing-information/,True,needs_access_closure_and_local_rules_check,supplemental_public_fishing_access_candidate,coastal_estuary,none,local_tourism_fishing_guide,Anxious Bay,bay
